小区,位置,户型,面积,朝向,装修,楼层,年份,台楼,其他
侨洲花园 ,白石洲,1室1厅 , 37平米 , 南 , 简装 , 中楼层(共8层) , 1993年建 , 板楼,
华润城润府一期 ,科技园,2室2厅 , 83.62平米 , 东北 , 其他 , 36层 , 2016年建 , 塔楼,
四季丽晶 ,南头,1室1厅 , 44.22平米 , 南 , 其他 , 28层 , 2011年建 , 塔楼,
南海大厦 ,南山中心,2室1厅 , 41.61平米 , 西 , 精装 , 低楼层(共24层) , 2006年建 , 塔楼,
碧海天家园 ,后海,2室2厅 , 75.28平米 , 南 , 其他 , 中楼层(共9层) , 2001年建 , 塔楼,
松坪村东区三期 ,科技园,2室1厅 , 59.26平米 , 西北 , 简装 , 中楼层(共34层) , 2012年建 , 塔楼,
诺德假日花园 ,前海,2室1厅 , 47.5平米 , 西南 , 精装 , 29层 , 2008年建 , 板塔结合,
心语雅园 ,前海,2室1厅 , 60.27平米 , 东南 西南 , 简装 , 18层 , 2003年建 , 塔楼,
嘉庭苑 ,南头,2室1厅 , 70.22平米 , 南 , 简装 , 高楼层(共7层) , 2002年建 , 板塔结合,
南国丽城 ,大学城,2室2厅 , 77.37平米 , 西北 , 精装 , 高楼层(共22层) , 2005年建 , 板楼,
大冲都市花园 ,科技园,3室2厅 , 124.74平米 , 南 北 , 精装 , 31层 , 2015年建 , 板塔结合,
城建宿舍 ,南头,3室1厅 , 87.39平米 , 南 , 简装 , 中楼层(共6层)  , 板塔结合,,
诺德假日花园 ,前海,2室2厅 , 66.37平米 , 东北 , 其他 , 29层 , 2008年建 , 板塔结合,
半岛花园A区 ,蛇口,4室1厅 , 100.24平米 , 南 北 , 简装 , 中楼层(共8层) , 1996年建 , 板塔结合,
万科云城 ,西丽,4室2厅 , 133平米 , 西南 , 精装 , 中楼层(共40层)  , 塔楼,,
万科云城 ,西丽,2室1厅 , 62.26平米 , 北 , 精装 , 中楼层(共32层) , 2016年建 , 塔楼,
海伴雅居 ,蛇口,2室1厅 , 69.81平米 , 南 , 精装 , 中楼层(共17层) , 2002年建 , 板塔结合,
蔚蓝海岸2期 ,后海,4室2厅 , 154.44平米 , 南 , 其他 , 中楼层(共29层) , 2002年建 , 塔楼,
深蓝公寓 ,后海,1室1厅 , 43.78平米 , 南 北 , 简装 , 32层 , 2007年建 , 塔楼,
南油B区 ,后海,1室1厅 , 31.84平米 , 南 , 精装 , 高楼层(共7层) , 1989年建 , 板楼,
南油B区 ,后海,1室1厅 , 31.84平米 , 南 , 精装 , 高楼层(共7层) , 1989年建 , 板楼,
深航飞行员公寓 ,南山中心,3室2厅 , 115.6平米 , 南 , 精装 , 29层 , 2003年建 , 塔楼,
汇园雅居 ,科技园,2室2厅 , 69.9平米 , 南 , 简装 , 15层 , 2000年建 , 板塔结合,
深航飞行员公寓 ,南山中心,3室2厅 , 112.36平米 , 东南 , 简装 , 29层 , 2003年建 , 塔楼,
海印长城 ,南山中心,3室2厅 , 106.05平米 , 北 , 其他 , 15层 , 2003年建 , 塔楼,
向南瑞峰花园 ,南山中心,3室2厅 , 66.72平米 , 西 , 精装 , 31层 , 2011年建 , 塔楼,
前海金岸 ,南头,1室0厅 , 28.44平米 , 南 , 简装 , 28层 , 2006年建 , 塔楼,
佳兆业前海广场二期 ,前海,3室2厅 , 70.8平米 , 西北 , 其他 , 低楼层(共22层) , 2016年建 , 塔楼,
南海玫瑰花园三期 ,蛇口,2室1厅 , 86.37平米 , 东南 , 简装 , 中楼层(共23层) , 2007年建 , 板楼,
华侨城LOFT公馆 ,华侨城,5室1厅 , 310平米 , 南 , 其他 , 中楼层(共41层) , 2014年建 , 板塔结合,
龙城新苑 ,南山中心,4室1厅 , 79.68平米 , 南 北 , 简装 , 中楼层(共7层) , 1993年建 , 板楼,
豪方天际花园 ,南头,4室1厅 , 85.6平米 , 南 , 其他 , 49层 , 2017年建 , 板塔结合,
西丽山庄 ,大学城,6室3厅 , 199.72平米 , 西南 , 毛坯 , 中楼层(共5层) , 2005年建 , 板楼,
星海名城三期 ,前海,4室2厅 , 116.69平米 , 东南 西北 , 简装 , 18层 , 2004年建 , 板塔结合,
世纪村二期 ,红树湾,6室2厅 , 210.79平米 , 东南 西南 , 精装 , 中楼层(共16层) , 2002年建 , 塔楼,
前海时代CEO公馆 ,前海,4室1厅 , 184.92平米 , 南 , 毛坯 , 11层 , 2017年建 , 板塔结合,
中海深圳湾畔花园 ,白石洲,3室1厅 , 98.15平米 , 南 , 精装 , 中楼层(共33层) , 2003年建 , 板塔结合,
半岛城邦花园三期 ,蛇口,5室2厅 , 259.19平米 , 东南 , 精装 , 48层 , 2016年建 , 板塔结合,
锦绣花园一期 ,华侨城,3室1厅 , 118平米 , 西南 , 其他 , 高楼层(共33层) , 1998年建 , 塔楼,
港湾生活小区 ,前海,3室1厅 , 96.7平米 , 南 , 精装 , 高楼层(共8层) , 1993年建 , 板楼,
月亮湾山庄 ,前海,5室2厅 , 259.34平米 , 南 北 , 其他 , 1层 , 1997年建 , 板楼 , 联排别墅 
云海天城 ,后海,3室1厅 , 111.27平米 , 东北 , 其他 , 低楼层(共34层) , 2004年建 , 塔楼,
星海名城三期 ,前海,3室1厅 , 124.95平米 , 东北 , 精装 , 25层 , 2004年建 , 板塔结合,
登良花园 ,南山中心,4室2厅 , 100.41平米 , 南 , 精装 , 中楼层(共8层) , 2000年建 , 板塔结合,
西湖林语 ,大学城,5室2厅 , 153.5平米 , 东南 , 精装 , 18层 , 2007年建 , 塔楼,
城市山谷三期 ,科技园,5室1厅 , 335.35平米 , 东 北 , 其他 , 1层 , 2009年建 , 板楼 , 独栋别墅 
桃苑公寓 ,南头,2室1厅 , 57.88平米 , 南 , 其他 , 16层 , 1993年建 , 板塔结合,
荣村小区 ,蛇口,3室2厅 , 85.65平米 , 南 , 简装 , 中楼层(共8层) , 1994年建 , 暂无数据,
荔林春晓 ,南头,3室1厅 , 87.71平米 , 东北 , 精装 , 21层 , 2003年建 , 板塔结合,
凯德公园1号 ,南山中心,3室2厅 , 124.57平米 , 南 西南 , 简装 , 高楼层(共24层) , 2016年建 , 板楼,
半山翠林花园 ,西丽,5室2厅 , 85.15平米 , 南 , 简装 , 中楼层(共17层) , 2009年建 , 板塔结合,
佳兆业前海广场二期 ,前海,3室2厅 , 64.77平米 , 西北 , 精装 , 低楼层(共22层) , 2016年建 , 塔楼,
豪方天际花园 ,南头,4室2厅 , 142.6平米 , 南 北 , 毛坯 , 37层 , 2016年建 , 板塔结合,
佳兆业前海广场二期 ,前海,3室2厅 , 72.74平米 , 东 , 精装 , 低楼层(共21层) , 2016年建 , 塔楼,
佳兆业前海广场一期 ,前海,5室1厅 , 136.91平米 , 南 , 精装 , 32层 , 2014年建 , 塔楼,
美庐锦园 ,红树湾,3室2厅 , 169.26平米 , 西南 , 简装 , 高楼层(共32层) , 2002年建 , 板塔结合,
绿景美景广场 ,华侨城,2室1厅 , 48.08平米 , 东南 , 简装 , 中楼层(共38层) , 2020年建 , 塔楼,
星海名城一期二组团 ,前海,3室2厅 , 100.24平米 , 南 , 其他 , 9层 , 2000年建 , 板楼,
科苑学里 ,科技园,3室2厅 , 115.02平米 , 东南 , 简装 , 中楼层(共13层) , 2005年建 , 塔楼,
半山翠林花园 ,西丽,4室2厅 , 85.42平米 , 南 , 精装 , 高楼层(共17层) , 2009年建 , 板塔结合,
育德佳园 ,后海,4室2厅 , 190.79平米 , 南 北 , 精装 , 高楼层(共11层) , 2004年建 , 板塔结合,
麒麟花园A区 ,南头,5室2厅 , 197.52平米 , 南 北 , 其他 , 高楼层(共7层) , 1999年建 , 板塔结合,
博客公寓 ,科技园,1室0厅 , 31.3平米 , 南 , 其他 , 7层 , 1992年建 , 板楼,
侨城豪苑二期 ,白石洲,1室1厅 , 37.47平米 , 东南 , 精装 , 低楼层(共24层) , 2003年建 , 塔楼,
阳光棕榈园二期 ,前海,4室2厅 , 101.92平米 , 东南 南 北 , 精装 , 10层 , 2003年建 , 板楼,
澳城1618一期 ,蛇口,6室2厅 , 263.23平米 , 东 , 简装 , 高楼层(共11层) , 2008年建 , 板楼,
中旅广场 ,华侨城,5室2厅 , 216.27平米 , 东南 , 其他 , 高楼层(共34层) , 1998年建 , 板塔结合,
卓越维港南区 ,深圳湾,7室4厅 , 270.05平米 , 东南 , 精装 , 1层 , 2008年建 , 平房 , 联排别墅 
鼎太风华二期 ,前海,7室1厅 , 262.96平米 , 南 , 精装 , 高楼层(共11层) , 2003年建 , 塔楼,
首地容御 ,华侨城,5室2厅 , 204.02平米 , 南 西南 , 精装 , 32层 , 2011年建 , 板楼,
水木华庭 ,西丽,5室2厅 , 87.59平米 , 南 北 , 简装 , 高楼层(共9层) , 2003年建 , 塔楼,
青青山庄 ,前海,6室2厅 , 288.18平米 , 东南 , 毛坯 , 1层 , 1999年建 , 板塔结合 , 独栋别墅 
蓝漪花园 ,蛇口,7室2厅 , 255.99平米 , 南 , 精装 , 中楼层(共4层) , 2006年建 , 板塔结合,
半山海景兰溪谷二期 ,蛇口,5室2厅 , 198.09平米 , 南 北 , 其他 , 中楼层(共21层) , 2007年建 , 板楼,
花园城五期 ,蛇口,2室2厅 , 77.68平米 , 西南 , 简装 , 高楼层(共32层) , 2010年建 , 板塔结合,
阳光棕榈园一期 ,前海,5室2厅 , 183.64平米 , 东北 , 其他 , 11层 , 2002年建 , 板塔结合,
阳光里雅居 ,南山中心,4室2厅 , 57.2平米 , 东 , 精装 , 31层 , 2013年建 , 塔楼,
海印长城 ,南山中心,7室3厅 , 156.06平米 , 北 , 精装 , 15层 , 2002年建 , 塔楼,
世纪村一期 ,红树湾,6室2厅 , 364.11平米 , 东南 , 简装 , 高楼层(共15层) , 2001年建 , 塔楼,
博林天瑞 ,大学城,4室2厅 , 191.53平米 , 南 北 , 其他 , 低楼层(共45层) , 2016年建 , 塔楼,
荔海春城 ,南山中心,4室2厅 , 127平米 , 南 西南 , 其他 , 高楼层(共26层) , 2013年建 , 板塔结合,
汇宾广场 ,南山中心,3室2厅 , 129.97平米 , 南 西南 , 其他 , 低楼层(共32层) , 2002年建 , 塔楼,
畔山翠谷居 ,蛇口,6室2厅 , 229平米 , 南 , 精装 , 高楼层(共19层) , 2005年建 , 板塔结合,
紫园 ,前海,9室3厅 , 262.65平米 , 南 , 其他 , 上叠(共6层) , 2012年建 , 板塔结合 , 叠拼别墅 
德意名居一期 ,大学城,4室2厅 , 75平米 , 南 , 精装 , 高楼层(共18层) , 2010年建 , 塔楼,
华润深圳湾悦府一期 ,深圳湾,4室2厅 , 248.99平米 , 南 , 精装 , 51层 , 2017年建 , 塔楼,
桑泰丹华园三期 ,大学城,6室3厅 , 137.95平米 , 南 , 精装 , 中楼层(共20层) , 2008年建 , 板楼,
前海花园三期 ,前海,5室2厅 , 150.02平米 , 南 , 精装 , 17层 , 2004年建 , 塔楼,
锦隆花园 ,科技园,3室1厅 , 174.3平米 , 南 , 精装 , 7层 , 1998年建 , 板楼,
南海玫瑰花园三期 ,蛇口,4室3厅 , 262.34平米 , 南 , 其他 , 10层 , 2006年建 , 塔楼,
月亮湾山庄 ,前海,6室2厅 , 259.34平米 , 东南 西北 , 精装 , 1层 , 1997年建 , 板楼,
假日湾 ,华侨城,4室2厅 , 168.34平米 , 东 南 西 , 简装 , 中楼层(共28层) , 2004年建 , 塔楼,
金桃园大厦 ,南头,2室1厅 , 88平米 , 南 , 简装 , 20层 , 2004年建 , 板塔结合,
众冠花园 ,西丽,6室3厅 , 205.14平米 , 南 北 , 精装 , 高楼层(共7层) , 1999年建 , 板塔结合,
天源大厦 ,南山中心,5室3厅 , 232.09平米 , 西南 , 精装 , 高楼层(共18层) , 1999年建 , 塔楼,
湾厦花园 ,蛇口,3室2厅 , 135.26平米 , 南 , 精装 , 中楼层(共9层) , 1997年建 , 板楼,
太古城北 ,深圳湾,3室2厅 , 86.65平米 , 东南 , 精装 , 中楼层(共29层) , 2010年建 , 塔楼,
鼎太风华七期 ,前海,3室1厅 , 56.33平米 , 东南 , 简装 , 11层 , 2009年建 , 塔楼,
海月花园一期 ,蛇口,4室2厅 , 123.63平米 , 南 北 , 简装 , 高楼层(共7层) , 1999年建 , 板楼,
东关乐尚林居 ,南头,3室2厅 , 93.88平米 , 南 , 精装 , 高楼层(共31层)  , 板塔结合,,
诺德假日花园 ,前海,3室1厅 , 49.89平米 , 西南 , 其他 , 29层 , 2009年建 , 板塔结合,
观海台 ,后海,2室1厅 , 80.55平米 , 南 , 精装 , 低楼层(共18层) , 2003年建 , 板塔结合,
朗苑 ,西丽,1室1厅 , 43.79平米 , 北 , 其他 , 高楼层(共16层) , 2009年建 , 塔楼,
宝珠花园 ,西丽,3室2厅 , 86.92平米 , 南 , 精装 , 中楼层(共11层) , 1999年建 , 塔楼,
鼎太风华六期 ,前海,3室1厅 , 89.64平米 , 南 , 简装 , 24层 , 2009年建 , 板塔结合,
金色海琴苑 ,蛇口,3室2厅 , 88.37平米 , 南 , 简装 , 中楼层(共18层) , 2006年建 , 板塔结合,
半山翠林花园 ,西丽,3室2厅 , 85.15平米 , 东南 , 精装 , 中楼层(共17层) , 2009年建 , 板塔结合,
深物业前海港湾花园 ,前海,3室2厅 , 88.08平米 , 东南 , 其他 , 34层 , 2016年建 , 板楼,
深物业前海港湾花园 ,前海,3室2厅 , 81.71平米 , 东南 , 精装 , 34层 , 2016年建 , 板楼,
光彩山居岁月 ,前海,4室1厅 , 105.82平米 , 东南 , 精装 , 16层 , 2005年建 , 板塔结合,
钜建大厦 ,后海,3室2厅 , 87.44平米 , 东南 , 精装 , 中楼层(共24层) , 1994年建 , 塔楼,
阳光棕榈园三期 ,前海,3室1厅 , 119.11平米 , 南 , 其他 , 11层 , 2003年建 , 板塔结合,
天鹅堡 ,华侨城,6室3厅 , 242.59平米 , 东南 西北 , 精装 , 高楼层(共8层) , 2006年建 , 塔楼,
后海公馆 ,蛇口,4室2厅 , 131.51平米 , 南 , 精装 , 低楼层(共28层) , 2008年建 , 塔楼,
现代城华庭 ,南山中心,5室2厅 , 236.4平米 , 东南 , 精装 , 中楼层(共33层) , 2004年建 , 塔楼,
恒立心海湾花园 ,前海,4室1厅 , 88.13平米 , 北 , 其他 , 高楼层(共18层) , 2010年建 , 塔楼,
京基御景峯 ,大学城,3室2厅 , 89.16平米 , 西北 , 简装 , 中楼层(共57层) , 2019年建 , 板塔结合,
华府苑 ,南头,3室2厅 , 92.9平米 , 东 , 精装 , 7层 , 1997年建 , 板楼,
万科蛇口公馆 ,蛇口,3室1厅 , 110.74平米 , 西南 , 毛坯 , 高楼层(共31层) , 2018年建 , 塔楼,
海上世界双玺 ,蛇口,3室1厅 , 229.23平米 , 南 北 , 精装 , 51层 , 2015年建 , 板楼,
海王小区 ,前海,4室2厅 , 150.19平米 , 南 , 其他 , 中楼层(共8层) , 1994年建 , 塔楼,
山海韵 ,蛇口,3室2厅 , 119.75平米 , 东南 , 毛坯 , 中楼层(共28层) , 2016年建 , 板塔结合,
星海名城三期 ,前海,3室2厅 , 104.47平米 , 西北 , 简装 , 28层 , 2004年建 , 板塔结合,
大冲城市花园 ,科技园,3室2厅 , 124.41平米 , 南 , 精装 , 39层 , 2014年建 , 板塔结合,
望海汇景苑 ,蛇口,4室2厅 , 156.5平米 , 南 , 精装 , 高楼层(共20层) , 2003年建 , 板塔结合,
星海名城五期 ,前海,2室1厅 , 71.09平米 , 南 , 简装 , 32层 , 2006年建 , 塔楼,
佳嘉豪苑 ,南山中心,3室2厅 , 91.83平米 , 南 北 , 精装 , 中楼层(共22层) , 2003年建 , 塔楼,
鼎太风华三期 ,前海,5室1厅 , 182.85平米 , 东南 , 精装 , 低楼层(共31层) , 2011年建 , 板楼,
海上世界双玺 ,蛇口,5室2厅 , 334.3平米 , 南 , 精装 , 低楼层(共51层) , 2016年建 , 塔楼,
中海深圳湾畔花园 ,白石洲,3室2厅 , 99.73平米 , 西北 北 , 精装 , 高楼层(共33层) , 2003年建 , 板塔结合,
阳光带海滨城一期 ,科技园,5室2厅 , 276.53平米 , 东南 , 毛坯 , 高楼层(共29层) , 2003年建 , 塔楼,
万象新园 ,南山中心,3室2厅 , 103.79平米 , 南 西 , 简装 , 32层 , 2002年建 , 塔楼,
城市山林 ,南山中心,3室2厅 , 131.43平米 , 东南 , 其他 , 低楼层(共29层) , 2008年建 , 塔楼,
半岛城邦花园三期 ,蛇口,4室1厅 , 140.6平米 , 南 , 精装 , 45层 , 2016年建 , 塔楼,
香格名苑 ,前海,3室2厅 , 86.25平米 , 东 东南 南 , 精装 , 低楼层(共26层) , 2013年建 , 板塔结合,
鸿瑞花园一期 ,南山中心,3室1厅 , 85.84平米 , 东 , 精装 , 9层 , 1999年建 , 板塔结合,
英达钰龙园 ,南头,3室1厅 , 87.48平米 , 西北 , 简装 , 32层 , 2004年建 , 塔楼,
观海台 ,后海,3室1厅 , 83.47平米 , 东 , 精装 , 低楼层(共18层) , 2003年建 , 板塔结合,
海欣花园 ,蛇口,3室2厅 , 119.03平米 , 南 , 简装 , 中楼层(共7层) , 2000年建 , 板塔结合,
万科蛇口公馆 ,蛇口,3室1厅 , 110.55平米 , 东南 , 毛坯 , 中楼层(共33层) , 2018年建 , 塔楼,
南山花园 ,前海,4室1厅 , 169.79平米 , 东南 , 简装 , 中楼层(共5层) , 1997年建 , 板楼,
恒立心海湾花园 ,前海,4室1厅 , 86.3平米 , 东南 , 其他 , 高楼层(共32层) , 2010年建 , 板楼,
千叶苑 ,蛇口,5室2厅 , 172.65平米 , 南 , 精装 , 低楼层(共3层) , 1997年建 , 板楼,
山海津 ,蛇口,2室1厅 , 73.1平米 , 东南 , 精装 , 27层 , 2015年建 , 板塔结合,
英达钰龙园 ,南头,3室1厅 , 87.48平米 , 西北 , 简装 , 32层 , 2004年建 , 塔楼,
星海名城二期七组团 ,前海,4室1厅 , 125.27平米 , 北 , 简装 , 12层 , 2002年建 , 板塔结合,
心语雅园 ,前海,2室2厅 , 60.14平米 , 西 , 简装 , 18层 , 2003年建 , 塔楼,
假日湾 ,华侨城,3室2厅 , 128.27平米 , 南 西南 , 精装 , 中楼层(共27层) , 2004年建 , 塔楼,
颐安阅海 ,深圳湾,5室1厅 , 89.02平米 , 东南 , 精装 , 中楼层(共25层) , 2010年建 , 板楼,
佳兆业前海广场二期 ,前海,3室1厅 , 74.31平米 , 东南 , 其他 , 高楼层(共21层) , 2016年建 , 塔楼,
海月花园三期 ,蛇口,4室1厅 , 137.64平米 , 东南 , 精装 , 高楼层(共18层) , 2005年建 , 板塔结合,
深物业前海港湾花园 ,前海,3室1厅 , 88.94平米 , 南 , 精装 , 34层 , 2016年建 , 板楼,
山语海 ,前海,4室2厅 , 132.02平米 , 南 , 精装 , 中楼层(共7层)  , 板塔结合,,
汉京九榕台 ,前海,4室2厅 , 178平米 , 东南 , 精装 , 16层 , 2015年建 , 板楼,
阳光里雅居 ,南山中心,3室2厅 , 59.81平米 , 西南 , 精装 , 31层 , 2013年建 , 塔楼,
宝能城 ,大学城,4室2厅 , 89.85平米 , 南 , 精装 , 高楼层(共47层) , 2016年建 , 塔楼,
卓越前海壹号 ,前海,2室2厅 , 133.73平米 , 西南 , 其他 , 低楼层(共51层)  , 塔楼,,
恒大天璟大厦 ,后海,1室1厅 , 65.54平米 , 东 , 精装 , 45层 , 2019年建 , 塔楼,
万科蛇口公馆 ,蛇口,1室0厅 , 29.99平米 , 东北 , 精装 , 中楼层(共41层) , 2019年建 , 塔楼,
恒大天璟大厦 ,后海,2室1厅 , 83.52平米 , 东南 , 精装 , 45层 , 2019年建 , 塔楼,
丽湾国际公寓 ,前海,1室1厅 , 46.54平米 , 东南 , 精装 , 中楼层(共32层) , 2010年建 , 板楼,
瑧湾汇 ,红树湾,3室2厅 , 73.98平米 , 西 , 毛坯 , 33层 , 2020年建 , 塔楼,
绿景美景广场 ,华侨城,2室1厅 , 48.26平米 , 北 , 精装 , 高楼层(共38层)  , 塔楼,,
华润城润府一期 ,科技园,3室2厅 , 126.59平米 , 南 , 精装 , 59层 , 2016年建 , 塔楼,
栖游家园 ,蛇口,3室2厅 , 88.31平米 , 东南 , 精装 , 高楼层(共34层) , 2014年建 , 塔楼,
星海名城五期 ,前海,2室2厅 , 51.69平米 , 东南 , 简装 , 32层 , 2006年建 , 塔楼,
万科云城 ,西丽,3室1厅 , 93.18平米 , 北 , 精装 , 低楼层(共32层) , 2016年建 , 塔楼,
星海名城五期 ,前海,3室1厅 , 116.18平米 , 东南 , 简装 , 32层 , 2006年建 , 塔楼,
万科云城 ,西丽,3室2厅 , 98.68平米 , 东南 , 精装 , 低楼层(共40层) , 2017年建 , 塔楼,
南油B区 ,后海,1室1厅 , 31.84平米 , 南 , 其他 , 高楼层(共7层) , 1989年建 , 板楼,
阳光海景豪苑 ,科技园,2室1厅 , 78.21平米 , 北 , 其他 , 31层 , 2002年建 , 塔楼,
世纪村四期 ,红树湾,1室1厅 , 51.35平米 , 东南 南 , 简装 , 中楼层(共28层) , 2004年建 , 塔楼,
波托菲诺纯水岸四期 ,华侨城,7室1厅 , 216.66平米 , 东南 , 精装 , 高楼层(共11层) , 2007年建 , 板楼,
科技园三十四区 ,科技园,1室1厅 , 51.61平米 , 南 , 精装 , 高楼层(共7层) , 1992年建 , 板楼,
阳光花地苑 ,前海,1室1厅 , 37.57平米 , 西北 , 简装 , 27层 , 2010年建 , 塔楼,
华润城润府一期 ,科技园,5室1厅 , 205.15平米 , 南 , 精装 , 56层 , 2016年建 , 塔楼,
世界花园樱花居 ,华侨城,3室1厅 , 109.43平米 , 南 北 , 简装 , 中楼层(共7层) , 1996年建 , 板楼,
世界花园雅典居 ,华侨城,6室2厅 , 183平米 , 东南 , 简装 , 高楼层(共7层) , 1996年建 , 板楼,
万科云城 ,西丽,4室2厅 , 133.75平米 , 北 , 简装 , 高楼层(共44层) , 2017年建 , 塔楼,
鸿威海怡湾 ,深圳湾,5室1厅 , 165.03平米 , 南 , 精装 , 低楼层(共23层) , 2010年建 , 平房,
莲城花园 ,南头,4室2厅 , 117.79平米 , 南 , 简装 , 高楼层(共7层) , 1998年建 , 板楼,
万科云城 ,西丽,3室2厅 , 98.68平米 , 西南 , 精装 , 中楼层(共40层) , 2017年建 , 塔楼,
万科云城 ,西丽,3室2厅 , 98.67平米 , 南 , 精装 , 低楼层(共40层)  , 塔楼,,
世界花园雅典居 ,华侨城,3室2厅 , 113.9平米 , 北 , 简装 , 中楼层(共7层) , 1996年建 , 板楼,
凯德公园1号 ,南山中心,4室2厅 , 193.47平米 , 南 , 精装 , 高楼层(共34层) , 2016年建 , 板楼,
麒麟花园A区 ,南头,3室2厅 , 116.95平米 , 南 , 其他 , 低楼层(共11层) , 2003年建 , 板塔结合,
高山花园 ,蛇口,5室2厅 , 200.08平米 , 东南 , 其他 , 低楼层(共31层) , 2006年建 , 塔楼,
香山美墅云颂 ,华侨城,4室2厅 , 170.62平米 , 东南 南 北 , 精装 , 低楼层(共45层)  , 板塔结合,,
波托菲诺纯水岸十六期 ,华侨城,4室2厅 , 165.42平米 , 东南 , 精装 , 高楼层(共29层) , 2013年建 , 板楼,
向南瑞峰花园 ,南山中心,4室1厅 , 89.34平米 , 南 西南 , 精装 , 31层 , 2011年建 , 塔楼,
深云村 ,华侨城,4室2厅 , 89.7平米 , 东南 , 简装 , 低楼层(共34层) , 2010年建 , 塔楼,
前海花园 ,前海,3室1厅 , 90.55平米 , 南 , 精装 , 中楼层(共7层) , 1997年建 , 板塔结合,
山语海 ,前海,4室1厅 , 116.84平米 , 东南 , 精装 , 17层 , 2016年建 , 板楼,
天鹅堡 ,华侨城,6室2厅 , 257.82平米 , 南 , 精装 , 中楼层(共7层) , 2006年建 , 塔楼,
珑御府 ,科技园,4室1厅 , 180.14平米 , 南 北 , 精装 , 中楼层(共29层) , 2014年建 , 板楼,
鼎太风华五期 ,前海,2室1厅 , 84.69平米 , 南 , 其他 , 26层 , 2006年建 , 板塔结合,
马家龙大新工业村 ,南头,3室2厅 , 89.57平米 , 南 , 简装 , 高楼层(共7层) , 1995年建 , 板楼,
首地容御 ,华侨城,4室2厅 , 150.6平米 , 南 , 简装 , 32层 , 2011年建 , 板楼,
星海名城二期八组团 ,前海,3室2厅 , 95.6平米 , 东 , 其他 , 中楼层(共18层) , 2002年建 , 塔楼,
皇庭港湾 ,深圳湾,4室1厅 , 178.25平米 , 东南 , 其他 , 中楼层(共19层) , 2009年建 , 板楼,
海境界家园一期 ,蛇口,3室1厅 , 106.1平米 , 东南 , 其他 , 低楼层(共32层) , 2013年建 , 塔楼,
海印长城 ,南山中心,3室2厅 , 105.87平米 , 东南 , 简装 , 22层 , 2002年建 , 塔楼,
苏豪名厦 ,南头,3室1厅 , 108.96平米 , 东南 , 其他 , 28层 , 2000年建 , 塔楼,
阳光里雅居 ,南山中心,4室1厅 , 65.69平米 , 东北 , 精装 , 31层 , 2013年建 , 塔楼,
麒麟花园A区 ,南头,3室2厅 , 110.91平米 , 北 , 简装 , 中楼层(共24层) , 2004年建 , 板塔结合,
澳城1618二期 ,蛇口,4室2厅 , 87.67平米 , 西南 , 精装 , 高楼层(共32层) , 2013年建 , 板塔结合,
兰园大厦 ,蛇口,3室1厅 , 93.1平米 , 南 北 , 精装 , 高楼层(共7层) , 1991年建 , 板塔结合,
深物业前海港湾花园 ,前海,3室2厅 , 88.08平米 , 东南 , 精装 , 34层 , 2016年建 , 板楼,
星海名城三期 ,前海,2室2厅 , 72.01平米 , 南 西 , 简装 , 28层 , 2004年建 , 板塔结合,
招商桃花园三期 ,蛇口,3室2厅 , 100.82平米 , 南 , 精装 , 18层 , 2005年建 , 板塔结合,
海滨花园 ,蛇口,3室2厅 , 150平米 , 南 , 精装 , 中楼层(共20层) , 1990年建 , 板塔结合,
桂园小区一区 ,蛇口,3室2厅 , 81.34平米 , 南 , 精装 , 低楼层(共7层) , 1994年建 , 板楼,
滨海之窗 ,后海,3室1厅 , 148.62平米 , 东南 , 其他 , 32层 , 2004年建 , 板塔结合,
怡海花园 ,后海,3室2厅 , 92.7平米 , 南 , 简装 , 中楼层(共7层)  , 板塔结合,,
丽雅苑 ,大学城,5室2厅 , 119.53平米 , 南 北 , 精装 , 中楼层(共29层) , 2012年建 , 板塔结合,
南海玫瑰花园一期 ,蛇口,5室2厅 , 254.6平米 , 东 东南 南 , 精装 , 中楼层(共6层) , 2002年建 , 板塔结合,
星海名城一期三组团 ,前海,5室3厅 , 90.58平米 , 东北 , 其他 , 高楼层(共9层) , 2000年建 , 板楼,
中海阳光玫瑰园 ,前海,4室2厅 , 74.45平米 , 南 , 其他 , 低楼层(共17层) , 2009年建 , 塔楼,
南油B区 ,后海,1室1厅 , 35.51平米 , 南 西南 , 精装 , 中楼层(共7层) , 1989年建 , 板楼,
海韵嘉园 ,蛇口,2室1厅 , 62.5平米 , 北 , 精装 , 32层 , 2006年建 , 塔楼,
桃苑公寓 ,南头,1室1厅 , 34.84平米 , 东南 , 其他 , 16层 , 1993年建 , 板塔结合,
中海阳光玫瑰园 ,前海,2室1厅 , 48.38平米 , 西北 , 其他 , 中楼层(共17层) , 2009年建 , 塔楼,
瑞景华庭 ,前海,1室0厅 , 30.3平米 , 西 , 其他 , 15层 , 2002年建 , 塔楼,
松坪村菊苑 ,科技园,2室1厅 , 64.36平米 , 南 , 简装 , 低楼层(共7层) , 1993年建 , 板楼,
鸿瑞花园三期 ,南山中心,2室1厅 , 81.55平米 , 西北 , 其他 , 25层 , 2001年建 , 塔楼,
西湖林语 ,大学城,6室1厅 , 104.14平米 , 南 北 , 精装 , 17层 , 2007年建 , 塔楼,
星海名城一期三组团 ,前海,2室2厅 , 70.3平米 , 南 , 精装 , 低楼层(共9层) , 2000年建 , 板楼,
